,code,name,date,count,ratio
0,000524,岭南控股,2010-03-31,8507.92,31.55
1,000721,西安饮食,2010-03-31,3254.72,16.31
2,000902,新洋丰,2010-03-31,10188.00,39.49
3,600117,西宁特钢,2010-03-31,33501.09,45.20
4,000030,富奥股份,2010-03-30,417.41,1.45
5,000650,仁和药业,2010-03-30,6719.76,23.99
6,002122,天马股份,2010-03-30,40800.00,68.69
7,002220,天宝股份,2010-03-30,271.54,2.77
8,002327,富安娜,2010-03-30,519.99,5.05
9,002328,新朋股份,2010-03-30,1500.00,5.00
10,600628,新世界,2010-03-30,2659.00,5.00
11,002123,梦网荣信,2010-03-29,7374.87,32.92
12,600133,东湖高新,2010-03-29,2480.33,5.00
13,600195,中牧股份,2010-03-29,18900.00,48.46
14,600234,*ST山水,2010-03-29,181.39,1.25
15,600671,天目药业,2010-03-29,2.00,0.02
16,600674,川投能源,2010-03-29,21047.90,22.56
17,600960,渤海活塞,2010-03-29,814.12,5.00
18,000019,深深宝A,2010-03-26,6791.20,37.33
19,000591,太阳能,2010-03-26,8774.27,44.73
20,002079,苏州固锝,2010-03-26,11472.00,41.57
21,002215,诺普信,2010-03-26,582.47,2.63
22,300030,阳普医疗,2010-03-26,372.00,5.03
23,600167,联美控股,2010-03-26,9910.00,46.97
24,600306,*ST商城,2010-03-26,3930.00,22.06
25,600765,中航重机,2010-03-26,16000.00,30.85
26,000731,四川美丰,2010-03-25,2206.96,4.42
27,000878,云南铜业,2010-03-25,24870.00,19.79
28,000880,潍柴重机,2010-03-25,300.00,1.09
29,300029,天龙光电,2010-03-25,1000.00,5.00
30,300031,宝通科技,2010-03-25,250.00,5.00
31,300032,金龙机电,2010-03-25,714.00,5.00
32,300033,同花顺,2010-03-25,671.99,5.00
33,300034,钢研高纳,2010-03-25,600.00,5.10
34,300035,中科电气,2010-03-25,310.00,5.04
35,300036,超图软件,2010-03-25,380.00,5.07
36,601139,深圳燃气,2010-03-25,2600.00,2.11
37,000068,华控赛格,2010-03-23,13450.07,15.00
38,000426,兴业矿业,2010-03-23,809.68,2.13
39,000428,华天酒店,2010-03-23,21479.04,38.84
40,000521,美菱电器,2010-03-23,278.33,0.67
41,600622,嘉宝集团,2010-03-23,6183.70,12.02
42,002325,洪涛股份,2010-03-22,600.00,5.00
43,002326,永太科技,2010-03-22,669.98,5.02
44,600238,海南椰岛,2010-03-22,853.24,5.14
45,600462,九有股份,2010-03-22,10568.00,25.74
46,000564,供销大集,2010-03-19,39.47,0.13
47,000739,普洛药业,2010-03-19,4740.25,18.46
48,000756,新华制药,2010-03-19,2286.56,5.00
49,000928,中钢国际,2010-03-19,14243.04,50.35
50,002322,理工环科,2010-03-18,334.00,5.01
51,002323,雅百特,2010-03-18,419.99,5.08
52,002324,普利特,2010-03-18,699.99,5.18
53,600643,爱建集团,2010-03-18,47.22,0.06
54,000410,沈阳机床,2010-03-17,66.75,0.12
55,600481,双良节能,2010-03-17,292.50,0.43
56,000429,粤高速A,2010-03-16,184.02,0.15
57,000790,泰合健康,2010-03-16,4810.00,24.09
58,002320,海峡股份,2010-03-16,789.99,5.02
59,002321,华英农业,2010-03-16,740.00,5.03
60,600722,金牛化工,2010-03-16,17915.48,42.51
61,601989,中国重工,2010-03-16,79800.00,12.00
62,000557,西部创业,2010-03-15,301.24,0.44
63,000600,建投能源,2010-03-15,36630.00,40.09
64,600135,乐凯胶片,2010-03-15,3420.00,10.00
65,600066,宇通客车,2010-03-12,2599.46,5.00
66,600232,金鹰股份,2010-03-12,14182.15,38.88
67,600482,中国动力,2010-03-12,15668.88,33.99
68,600505,西昌电力,2010-03-12,2576.89,7.07
69,000606,*ST易桥,2010-03-11,6990.00,17.22
70,000722,湖南发展,2010-03-11,7058.39,26.32
71,002317,众生药业,2010-03-11,399.99,5.00
72,002318,久立特材,2010-03-11,799.99,5.00
73,002319,乐通股份,2010-03-11,500.00,5.00
74,600369,西南证券,2010-03-11,13454.30,7.07
75,000545,金浦钛业,2010-03-10,539.74,3.41
76,002113,天润数娱,2010-03-10,4211.20,35.57
77,600139,西部资源,2010-03-10,1240.87,5.23
78,600377,宁沪高速,2010-03-10,482.70,0.10
79,600773,西藏城投,2010-03-10,2631.37,4.57
80,600892,大晟文化,2010-03-10,2124.46,33.66
81,000409,山东地矿,2010-03-09,288.69,1.69
82,000507,珠海港,2010-03-09,5656.82,16.40
83,002315,焦点科技,2010-03-09,587.57,5.00
84,002316,键桥通讯,2010-03-09,600.00,5.00
85,000637,茂化实华,2010-03-08,4226.59,9.35
86,002120,韵达股份,2010-03-08,7921.96,52.72
87,002121,科陆电子,2010-03-08,11762.40,49.01
88,600220,江苏阳光,2010-03-08,8916.70,5.00
89,600525,长园集团,2010-03-08,6424.69,29.76
90,000626,远大控股,2010-03-05,10969.64,54.17
91,002108,沧州明珠,2010-03-05,1447.20,14.68
92,600290,华仪电气,2010-03-05,1220.10,4.45
93,600522,中天科技,2010-03-04,5000.00,15.59
94,600800,天津磁卡,2010-03-04,9304.07,15.22
95,002117,东港股份,2010-03-03,3895.00,35.41
96,002118,紫鑫药业,2010-03-03,8307.54,68.35
97,002312,三泰控股,2010-03-03,299.99,5.07
98,002313,日海通讯,2010-03-03,499.97,5.00
99,002314,南山控股,2010-03-03,1469.99,5.07
100,600615,丰华股份,2010-03-03,3288.37,17.49
101,601003,柳钢股份,2010-03-03,215275.32,84.00
102,000601,韶能股份,2010-03-02,714.49,0.77
103,002119,康强电子,2010-03-02,6489.00,33.41
104,600101,明星电力,2010-03-02,6507.00,20.07
105,600760,*ST黑豹,2010-03-02,1365.02,5.00
106,000539,粤电力A,2010-03-01,107.54,0.04
107,000709,河钢股份,2010-03-01,94.85,0.01
108,002182,云海金属,2010-03-01,1800.00,9.38
109,002308,威创股份,2010-03-01,1069.00,5.00
110,002309,中利集团,2010-03-01,669.99,5.02
111,002310,东方园林,2010-03-01,289.99,5.79
112,002311,海大集团,2010-03-01,1119.99,5.00
113,600288,大恒科技,2010-03-01,10712.00,24.52
114,600480,凌云股份,2010-03-01,10452.00,33.50
115,600588,用友网络,2010-03-01,12411.36,19.77
116,601005,重庆钢铁,2010-03-01,84500.00,48.76
117,601318,中国平安,2010-03-01,85982.30,11.71
