,code,name,date,count,ratio
0,002121,科陆电子,2016-11-30,13.94,0.01
1,300443,金雷风电,2016-11-30,9.38,0.08
2,600610,中毅达,2016-11-30,8484.00,7.92
3,600682,南京新百,2016-11-30,961.86,1.16
4,300190,维尔利,2016-11-29,538.59,1.32
5,300238,冠昊生物,2016-11-29,56.81,0.21
6,300271,华宇软件,2016-11-29,264.01,0.41
7,300324,旋极信息,2016-11-29,1376.47,1.38
8,002168,深圳惠程,2016-11-28,471.00,0.57
9,002185,华天科技,2016-11-28,15941.14,14.96
10,002188,巴士在线,2016-11-28,1531.33,5.11
11,002276,万马股份,2016-11-28,402.92,0.43
12,002500,山西证券,2016-11-28,3025.55,1.07
13,002509,天广中茂,2016-11-28,36960.00,23.73
14,002606,大连电瓷,2016-11-28,120.00,0.59
15,600127,金健米业,2016-11-28,9732.36,15.17
16,600325,华发股份,2016-11-28,24640.00,21.08
17,600728,佳都科技,2016-11-28,26741.03,17.48
18,601908,京运通,2016-11-28,27347.72,13.69
19,000623,吉林敖东,2016-11-25,1788.88,2.00
20,000685,中山公用,2016-11-25,8.58,0.01
21,300038,梅泰诺,2016-11-25,1517.29,7.97
22,300063,天龙集团,2016-11-25,914.69,3.15
23,600208,新湖中宝,2016-11-25,96153.85,11.18
24,600498,烽火通信,2016-11-25,914.61,0.87
25,601005,重庆钢铁,2016-11-25,199618.16,45.00
26,000560,昆百大A,2016-11-24,10000.00,8.54
27,000959,首钢股份,2016-11-24,176037.59,33.28
28,300363,博腾股份,2016-11-24,269.14,0.63
29,600712,南宁百货,2016-11-24,23.04,0.04
30,002169,智光电气,2016-11-23,6268.76,15.92
31,002703,浙江世宝,2016-11-23,4134.68,13.09
32,300368,汇金股份,2016-11-23,361.05,0.66
33,600419,天润乳业,2016-11-23,617.86,5.97
34,600525,长园集团,2016-11-23,49.32,0.04
35,603788,宁波高发,2016-11-23,208.50,1.48
36,000564,供销大集,2016-11-22,14.16,0.00
37,300431,暴风集团,2016-11-22,272.31,0.98
38,000851,高鸿股份,2016-11-21,230.80,0.39
39,002437,誉衡药业,2016-11-21,2702.08,1.23
40,002507,涪陵榨菜,2016-11-21,287.44,0.55
41,002706,良信电器,2016-11-21,25.79,0.10
42,300024,机器人,2016-11-21,11956.52,7.66
43,300170,汉得信息,2016-11-21,509.67,0.59
44,300327,中颖电子,2016-11-21,79.33,0.42
45,600891,秋林集团,2016-11-21,5992.01,9.70
46,002217,合力泰,2016-11-18,6855.30,4.82
47,002442,龙星化工,2016-11-18,5447.20,11.35
48,002723,金莱特,2016-11-18,564.25,3.02
49,300036,超图软件,2016-11-18,202.27,0.45
50,300098,高新兴,2016-11-18,6639.38,6.18
51,300370,安控科技,2016-11-18,1868.01,3.23
52,300453,三鑫医疗,2016-11-18,7.00,0.04
53,600076,康欣新材,2016-11-18,27585.08,26.67
54,600708,光明地产,2016-11-18,23802.06,18.05
55,600984,建设机械,2016-11-18,8795.01,13.81
