,code,name,date,count,ratio
0,000786,北新建材,2017-09-30,3632.59,2.03
1,002019,亿帆医药,2017-09-30,52027.14,47.26
2,002110,三钢闽光,2017-09-30,45592.71,33.19
3,002180,艾派克,2017-09-30,48826.08,48.25
4,002195,二三四五,2017-09-30,65805.58,34.05
5,002414,高德红外,2017-09-30,1125.28,1.80
6,002507,涪陵榨菜,2017-09-30,20866.56,39.65
7,300051,三五互联,2017-09-30,1311.23,3.54
8,300229,拓尔思,2017-09-30,911.21,1.93
9,300547,川环科技,2017-09-30,1857.75,31.08
10,300549,优德精密,2017-09-30,2617.50,39.26
11,600864,哈投股份,2017-09-30,53022.27,25.15
12,600917,重庆燃气,2017-09-30,140000.00,89.97
13,000408,*ST金源,2017-09-29,13333.33,6.43
14,000683,远兴能源,2017-09-29,74007.58,18.97
15,002252,上海莱士,2017-09-29,375.19,0.08
16,300109,新开源,2017-09-29,119.94,0.70
17,600074,保千里,2017-09-29,282.00,0.12
18,601016,节能风电,2017-09-29,96000.00,46.20
19,000990,诚志股份,2017-09-28,9065.12,23.38
20,300412,迦南科技,2017-09-28,1000.00,7.71
21,300545,联得装备,2017-09-28,721.89,10.12
22,300546,雄帝科技,2017-09-28,1565.45,29.35
23,603738,泰晶科技,2017-09-28,800.00,12.00
24,603869,北部湾旅,2017-09-28,3893.87,11.16
25,000564,西安民生,2017-09-27,125163.87,20.83
26,000971,高升控股,2017-09-27,6372.97,12.46
27,002383,合众思壮,2017-09-27,7935.06,32.47
28,300238,冠昊生物,2017-09-27,698.37,2.63
29,603306,华懋科技,2017-09-27,13781.25,64.43
30,000544,中原环保,2017-09-26,7830.71,12.05
31,000739,普洛药业,2017-09-26,8677.69,7.57
32,000810,创维数字,2017-09-26,50325.17,48.64
33,000997,新大陆,2017-09-26,521.53,0.56
34,002196,方正电机,2017-09-26,2150.54,8.11
35,002235,安妮股份,2017-09-26,842.49,2.04
36,002250,联化科技,2017-09-26,466.56,0.56
37,300171,东富龙,2017-09-26,40.80,0.06
38,300187,永清环保,2017-09-26,37.50,0.06
39,300520,科大国创,2017-09-26,163.00,1.70
40,600216,浙江医药,2017-09-26,1069.60,1.11
41,600233,圆通速递,2017-09-26,45336.79,16.07
42,600273,嘉化能源,2017-09-26,72628.68,55.60
43,600512,腾达建设,2017-09-26,51936.22,32.48
44,600721,*ST百花,2017-09-26,6118.87,17.53
45,600814,杭州解百,2017-09-26,40464.37,56.59
46,603003,龙宇燃油,2017-09-26,23911.46,54.21
47,000558,莱茵体育,2017-09-25,9438.20,10.98
48,000782,美达股份,2017-09-25,12362.64,23.41
49,002405,四维图新,2017-09-25,151.57,0.14
50,002635,安洁科技,2017-09-25,11.00,0.03
51,300183,东软载波,2017-09-25,390.84,0.86
52,603889,新澳股份,2017-09-25,137.40,0.42
53,002064,华峰氨纶,2017-09-24,2000.00,1.19
54,002123,梦网荣信,2017-09-24,5469.24,6.35
55,002592,八菱科技,2017-09-24,7262.17,25.63
56,002610,爱康科技,2017-09-24,5120.00,1.14
57,300237,美晨科技,2017-09-24,8559.29,10.60
58,300360,炬华科技,2017-09-24,161.55,0.45
59,600794,保税科技,2017-09-24,8880.00,7.33
60,002172,澳洋科技,2017-09-23,1158.90,1.58
61,300327,中颖电子,2017-09-23,80.71,0.42
62,300447,全信股份,2017-09-23,61.22,0.38
63,600571,信雅达,2017-09-23,439.00,1.00
64,000683,远兴能源,2017-09-22,82124.34,21.05
65,002356,赫美集团,2017-09-22,7047.44,22.70
66,002400,省广股份,2017-09-22,16489.40,12.30
67,002519,银河电子,2017-09-22,5320.59,7.91
68,002712,思美传媒,2017-09-22,45.00,0.16
69,002746,仙坛股份,2017-09-22,2249.02,12.37
70,300284,苏交科,2017-09-22,338.60,0.61
71,300373,扬杰科技,2017-09-22,25.00,0.05
72,300387,富邦股份,2017-09-22,81.00,0.65
73,300431,暴风集团,2017-09-22,38.27,0.14
74,300437,清水源,2017-09-22,1756.20,8.04
75,600094,大名城,2017-09-22,46376.81,18.74
76,600432,*ST吉恩,2017-09-22,79260.24,49.42
77,603011,合锻智能,2017-09-22,4969.88,11.14
78,002063,远光软件,2017-09-21,631.23,1.04
79,002317,众生药业,2017-09-21,7692.31,9.44
80,300170,汉得信息,2017-09-21,150.78,0.18
81,300311,任子行,2017-09-21,1295.84,2.89
