,code,name,date,count,ratio
0,000521,美菱电器,2015-07-31,208.51,0.27
1,000685,中山公用,2015-07-31,56.27,0.04
2,002004,华邦健康,2015-07-31,938.25,0.50
3,002690,美亚光电,2015-07-31,41523.30,61.42
4,002691,冀凯股份,2015-07-31,13209.61,66.05
5,002728,特一药业,2015-07-31,1500.00,7.50
6,300340,科恒股份,2015-07-31,2391.44,23.91
7,300390,天华超净,2015-07-31,3347.53,28.62
8,600807,天业股份,2015-07-31,7631.57,10.83
9,603126,中材节能,2015-07-31,9804.00,16.06
10,002602,世纪华通,2015-07-29,27300.00,26.58
11,300324,旋极信息,2015-07-29,3323.67,7.03
12,600306,*ST商城,2015-07-29,0.85,0.01
13,600643,爱建集团,2015-07-29,2.41,0.00
14,000915,山大华特,2015-07-28,7.48,0.04
15,002687,乔治白,2015-07-28,24611.40,69.36
16,002716,金贵银业,2015-07-28,1677.08,3.33
17,600682,南京新百,2015-07-28,21.00,0.03
18,002144,宏达高科,2015-07-27,329.60,1.86
19,002175,东方网络,2015-07-27,2743.45,11.90
20,002439,启明星辰,2015-07-27,4017.37,4.84
21,300274,阳光电源,2015-07-27,50.00,0.08
22,300289,利德曼,2015-07-27,30.78,0.19
23,300341,麦迪电气,2015-07-27,11113.35,59.57
24,300377,赢时胜,2015-07-27,2565.76,23.18
25,600422,昆药集团,2015-07-27,16.51,0.05
26,300004,南风股份,2015-07-24,4264.20,8.37
27,300044,赛为智能,2015-07-24,26.00,0.12
28,000967,盈峰环境,2015-07-23,2767.38,9.02
29,002452,长高集团,2015-07-23,5460.00,10.40
30,600690,青岛海尔,2015-07-23,488.08,0.08
31,000597,东北制药,2015-07-21,10678.62,22.50
32,002426,胜利精密,2015-07-21,18472.91,18.74
33,002480,新筑股份,2015-07-21,7120.40,11.03
34,002512,达华智能,2015-07-21,85.58,0.24
35,300332,天壕环境,2015-07-21,271.50,0.83
36,002097,山河智能,2015-07-20,13815.00,18.29
37,002292,奥飞娱乐,2015-07-20,88.41,0.07
38,603009,北特科技,2015-07-20,806.02,7.56
39,002104,恒宝股份,2015-07-17,408.80,0.57
40,002176,江特电机,2015-07-17,9727.63,18.59
41,002447,壹桥股份,2015-07-17,588.00,0.62
42,002689,远大智能,2015-07-17,62869.62,65.33
43,600276,恒瑞医药,2015-07-17,402.12,0.21
44,600066,宇通客车,2015-07-16,3618.76,1.64
45,300239,东宝生物,2015-07-15,7084.33,35.86
46,600141,兴发集团,2015-07-15,3035.39,5.73
47,600515,海航基础,2015-07-15,12721.42,30.09
48,002688,金河生物,2015-07-13,10153.38,46.61
49,600082,海泰发展,2015-07-13,238.68,0.37
50,600375,*ST星马,2015-07-13,2449.91,4.41
51,002024,苏宁云商,2015-07-10,9876.54,1.34
52,002273,水晶光电,2015-07-10,1123.51,2.95
53,002645,华宏科技,2015-07-10,11033.10,70.72
54,300289,利德曼,2015-07-10,20.52,0.13
55,300335,迪森股份,2015-07-10,14143.64,44.72
56,300336,新文化,2015-07-10,25278.00,47.02
57,600285,羚锐制药,2015-07-10,601.42,1.12
58,601668,中国建筑,2015-07-10,4892.67,0.16
59,000587,金洲慈航,2015-07-08,16686.19,29.95
60,000598,兴蓉环境,2015-07-08,125570.64,42.05
61,300236,上海新阳,2015-07-08,88.96,0.48
62,300268,万福生科,2015-07-08,6491.23,48.44
63,000803,金宇车城,2015-07-07,742.35,5.81
64,002137,麦达数字,2015-07-07,63.90,0.14
65,002178,延华智能,2015-07-06,546.81,0.81
66,002225,濮耐股份,2015-07-06,119.40,0.13
67,002603,以岭药业,2015-07-06,402.04,0.36
68,300334,津膜科技,2015-07-06,15018.75,57.54
69,600381,青海春天,2015-07-06,1180.88,1.72
70,600586,金晶科技,2015-07-06,45559.80,32.02
71,600698,湖南天雁,2015-07-06,60.33,0.06
72,601608,中信重工,2015-07-06,198731.70,72.53
73,000693,ST华泽,2015-07-03,963.47,1.77
74,002686,亿利达,2015-07-03,20400.00,75.00
75,300333,兆日科技,2015-07-03,3088.90,27.58
76,600027,华电国际,2015-07-03,6000.00,0.68
77,600521,华海药业,2015-07-03,229.29,0.29
78,603369,今世缘,2015-07-03,22050.00,43.94
79,002181,粤传媒,2015-07-02,3366.10,2.90
80,300315,掌趣科技,2015-07-02,11968.17,4.85
81,600098,广州发展,2015-07-02,28882.21,10.59
82,600982,宁波热电,2015-07-02,25613.00,34.29
83,603168,莎普爱思,2015-07-02,5976.58,36.58
84,000856,*ST冀装,2015-07-01,9492.94,41.82
85,002221,东华能源,2015-07-01,10600.00,15.31
86,002467,二六三,2015-07-01,6000.49,8.29
87,002594,比亚迪,2015-07-01,4064.55,1.64
88,300265,通光线缆,2015-07-01,18625.00,55.18
89,300332,天壕环境,2015-07-01,8233.00,25.02
90,600893,中航动力,2015-07-01,27891.98,14.31
91,603328,依顿电子,2015-07-01,798.00,1.63
