,code,name,date,count,ratio
0,000564,供销大集,2010-10-29,10.30,0.03
1,000586,汇源通信,2010-10-29,325.00,1.68
2,000630,铜陵有色,2010-10-29,30679.56,23.70
3,000860,顺鑫农业,2010-10-29,20609.40,46.99
4,002006,精功科技,2010-10-29,6071.94,42.17
5,002018,华信国际,2010-10-28,1737.59,5.91
6,300095,华伍股份,2010-10-28,390.00,5.07
7,300096,易联众,2010-10-28,440.00,5.12
8,300097,智云股份,2010-10-28,300.00,5.00
9,300098,高新兴,2010-10-28,342.00,5.00
10,600225,天津松江,2010-10-28,3854.77,6.15
11,600839,四川长虹,2010-10-28,101.84,0.04
12,600697,欧亚集团,2010-10-27,19.89,0.12
13,000966,长源电力,2010-10-25,20722.07,37.40
14,600736,苏州高新,2010-10-25,2325.60,2.64
15,000950,*ST建峰,2010-10-22,17678.74,29.52
16,000616,海航投资,2010-10-21,11909.69,11.99
17,000885,同力水泥,2010-10-21,624.66,2.47
18,002299,圣农发展,2010-10-21,10185.74,24.84
19,002300,太阳电缆,2010-10-21,2702.96,13.45
20,002301,齐心集团,2010-10-21,2850.00,15.26
21,000012,南玻A,2010-10-20,29325.00,14.12
22,002106,莱宝高科,2010-10-20,33.37,0.08
23,002451,摩恩电气,2010-10-20,732.00,5.00
24,002452,长高集团,2010-10-20,500.00,5.00
25,002453,天马精化,2010-10-20,600.00,5.00
26,002454,松芝股份,2010-10-20,1200.00,5.00
27,600498,烽火通信,2010-10-20,3180.00,7.20
28,600800,天津磁卡,2010-10-20,616.88,1.01
29,000506,中润资源,2010-10-19,1319.56,1.70
30,000780,平庄能源,2010-10-19,62294.73,61.42
31,002025,航天电器,2010-10-19,13743.56,41.65
32,002109,*ST兴化,2010-10-19,15516.51,43.29
33,600322,天房发展,2010-10-19,6488.52,5.87
34,600993,马应龙,2010-10-19,5.96,0.04
35,002414,高德红外,2010-10-18,1500.00,5.00
36,002448,中原内配,2010-10-18,470.00,5.08
37,002449,国星光电,2010-10-18,1100.00,5.12
38,002450,康得新,2010-10-18,808.00,5.00
39,600790,轻纺城,2010-10-18,3093.88,5.00
40,002088,鲁阳节能,2010-10-15,93.16,0.40
41,002091,江苏国泰,2010-10-15,5287.50,17.62
42,002164,宁波东力,2010-10-15,10500.00,47.12
43,600337,美克家居,2010-10-15,10867.70,21.28
44,601288,农业银行,2010-10-15,503202.80,1.55
45,000069,华侨城A,2010-10-14,1666.21,0.54
46,000695,滨海能源,2010-10-14,7156.66,32.22
47,002175,东方网络,2010-10-14,3087.93,36.16
48,002176,江特电机,2010-10-13,3411.50,31.46
49,002444,巨星科技,2010-10-13,1270.00,5.01
50,002445,中南文化,2010-10-13,620.00,5.04
51,002446,盛路通信,2010-10-13,520.00,5.09
52,002447,壹桥股份,2010-10-13,339.99,5.07
53,600432,*ST吉恩,2010-10-13,5795.40,7.14
54,601000,唐山港,2010-10-13,4000.00,4.00
55,600766,园城黄金,2010-10-12,5253.00,30.69
56,000953,河池化工,2010-10-11,14449.36,49.14
57,002255,海陆重工,2010-10-11,1840.00,14.25
58,601088,中国神华,2010-10-11,1451103.80,72.96
59,002440,闰土股份,2010-10-08,1476.40,5.00
60,002441,众业达,2010-10-08,580.00,5.00
61,002442,龙星化工,2010-10-08,1000.00,5.00
62,002443,金洲管道,2010-10-08,670.00,5.02
63,300092,科新机电,2010-10-08,460.00,5.05
64,300093,金刚玻璃,2010-10-08,600.00,5.00
65,300094,国联水产,2010-10-08,1600.00,5.00
66,600173,卧龙地产,2010-10-08,37334.87,51.49
