,code,name,date,count,ratio
0,300054,鼎龙股份,2015-10-30,217.50,0.49
1,300208,恒顺众昇,2015-10-30,1278.75,1.67
2,300255,常山药业,2015-10-30,317.11,0.67
3,300299,富春通信,2015-10-30,506.25,1.33
4,300403,地尔汉宇,2015-10-30,2557.00,19.08
5,300237,美晨科技,2015-10-28,4761.90,7.31
6,300343,联创互联,2015-10-28,5112.00,40.85
7,600496,精工钢构,2015-10-28,22000.00,14.56
8,000997,新大陆,2015-10-26,718.99,0.77
9,600691,阳煤化工,2015-10-26,56494.70,32.16
10,002250,联化科技,2015-10-23,476.46,0.57
11,300353,东土科技,2015-10-23,2035.54,5.94
12,600885,宏发股份,2015-10-23,23922.67,44.97
13,300278,华昌达,2015-10-22,632.37,1.16
14,000753,漳州发展,2015-10-21,12032.65,13.61
15,300136,信维通信,2015-10-21,442.20,0.74
16,002514,宝馨科技,2015-10-20,992.91,3.58
17,002671,龙泉股份,2015-10-20,552.08,1.24
18,300392,腾信股份,2015-10-20,64.39,0.17
19,600614,鹏起科技,2015-10-20,12427.01,8.11
20,000156,华数传媒,2015-10-19,42854.08,29.90
21,000716,黑芝麻,2015-10-19,595.30,1.87
22,002267,陕天然气,2015-10-19,9523.81,8.56
23,002518,科士达,2015-10-19,209.20,0.70
24,300360,炬华科技,2015-10-19,143.60,0.59
25,600351,亚宝药业,2015-10-19,5904.80,8.53
26,600812,华北制药,2015-10-19,35000.00,21.46
27,600969,郴电国际,2015-10-19,5405.41,20.45
28,000630,铜陵有色,2015-10-16,245261.02,25.65
29,000719,大地传媒,2015-10-16,35873.49,45.58
30,002475,立讯精密,2015-10-16,9821.08,7.87
31,300118,东方日升,2015-10-16,2633.02,3.90
32,603169,兰石重装,2015-10-16,22670.40,23.97
33,002281,光迅科技,2015-10-15,1731.72,8.25
34,300237,美晨科技,2015-10-15,241.71,0.37
35,300398,飞凯材料,2015-10-15,999.76,9.61
36,603606,东方电缆,2015-10-15,7026.80,22.60
37,002032,苏泊尔,2015-10-14,3.60,0.01
38,002292,奥飞娱乐,2015-10-14,1325.67,1.05
39,600000,浦发银行,2015-10-14,373069.43,20.00
40,600259,广晟有色,2015-10-14,890.59,3.40
41,601777,力帆股份,2015-10-14,1963.32,1.56
42,603018,中设集团,2015-10-14,3693.29,35.51
43,000786,北新建材,2015-10-13,22735.57,16.08
44,600707,彩虹股份,2015-10-13,132.00,0.18
45,002019,亿帆医药,2015-10-12,1179.07,2.68
46,002701,奥瑞金,2015-10-12,11569.00,11.79
47,300399,京天利,2015-10-12,546.75,6.83
48,300400,劲拓股份,2015-10-12,3892.68,32.44
49,300402,宝色股份,2015-10-12,755.00,3.74
50,600317,营口港,2015-10-12,318026.81,49.13
51,603010,万盛股份,2015-10-12,2263.66,22.64
52,603456,九洲药业,2015-10-12,588.00,2.83
53,000837,秦川机床,2015-10-09,7147.64,10.31
54,002354,天神娱乐,2015-10-09,2588.57,11.61
55,002389,南洋科技,2015-10-09,1589.24,2.24
56,002730,电光科技,2015-10-09,1000.00,6.82
57,300292,吴通控股,2015-10-09,1050.35,3.29
58,300311,任子行,2015-10-09,197.49,0.66
59,300356,光一科技,2015-10-09,5924.10,36.74
60,300401,花园生物,2015-10-09,5658.93,31.20
61,603993,洛阳钼业,2015-10-09,179659.35,31.92
62,002527,新时达,2015-10-08,1279.74,2.17
63,300349,金卡股份,2015-10-08,13500.00,75.00
64,600584,长电科技,2015-10-08,13143.64,13.35
