,code,name,date,count,ratio
0,000652,泰达股份,2011-01-31,360.85,0.24
1,000826,启迪桑德,2011-01-31,16764.33,40.56
2,000850,华茂股份,2011-01-31,29190.70,46.40
3,002209,达意隆,2011-01-31,8589.67,43.99
4,002210,飞马国际,2011-01-31,20565.00,67.21
5,600629,华建集团,2011-01-31,11762.29,40.56
6,600643,爱建集团,2011-01-31,5286.23,6.44
7,600888,新疆众和,2011-01-31,1000.00,2.84
8,002204,大连重工,2011-01-28,16000.00,74.77
9,002207,准油股份,2011-01-28,7445.87,74.86
10,002208,合肥城建,2011-01-28,19344.00,60.43
11,002345,潮宏基,2011-01-28,7158.92,39.77
12,002347,泰尔股份,2011-01-28,899.00,8.64
13,600774,汉商集团,2011-01-28,73.92,0.42
14,601098,中南传媒,2011-01-28,7960.00,4.43
15,601179,中国西电,2011-01-28,16000.00,3.67
16,002110,三钢闽光,2011-01-26,39500.00,73.87
17,002342,巨力索具,2011-01-26,4800.00,10.00
18,002343,慈文传媒,2011-01-26,1457.05,14.71
19,002344,海宁皮城,2011-01-26,1722.21,6.15
20,300132,青松股份,2011-01-26,340.00,5.08
21,300133,华策影视,2011-01-26,282.40,5.00
22,300134,大富科技,2011-01-26,800.00,5.00
23,300135,宝利国际,2011-01-26,400.00,5.00
24,002205,国统股份,2011-01-24,5705.00,49.12
25,002206,海利得,2011-01-24,11190.00,44.76
26,002339,积成电子,2011-01-24,3087.76,35.90
27,002340,格林美,2011-01-24,6329.60,52.17
28,002341,新纶科技,2011-01-24,2470.00,33.74
29,600227,赤天化,2011-01-24,6116.23,6.44
30,600259,广晟有色,2011-01-24,1067.00,4.28
31,600523,贵航股份,2011-01-24,4480.68,15.52
32,600825,新华传媒,2011-01-24,33579.16,32.14
33,000530,大冷股份,2011-01-21,5764.18,16.47
34,000818,方大化工,2011-01-21,19004.70,55.90
35,002488,金固股份,2011-01-21,600.00,5.00
36,002489,浙江永强,2011-01-21,1200.00,5.00
37,002490,山东墨龙,2011-01-21,1400.00,3.51
38,002491,通鼎互联,2011-01-21,1340.00,5.00
39,601877,正泰电器,2011-01-21,18568.06,18.48
40,000544,中原环保,2011-01-20,15528.12,57.63
41,300043,星辉娱乐,2011-01-20,1025.24,12.95
42,300044,赛为智能,2011-01-20,2438.03,24.38
43,300046,台基股份,2011-01-20,1776.00,25.00
44,300047,天源迪科,2011-01-20,1000.00,9.56
45,300048,合康新能,2011-01-20,1440.00,11.70
46,300049,福瑞股份,2011-01-20,1610.93,16.75
47,300050,世纪鼎利,2011-01-20,2504.00,23.18
48,300130,新国都,2011-01-20,320.00,5.04
49,300131,英唐智控,2011-01-20,238.00,5.17
50,000627,天茂集团,2011-01-19,8200.00,6.06
51,002337,赛象科技,2011-01-19,40.00,0.33
52,300129,泰胜风能,2011-01-19,600.00,5.00
53,601099,太平洋,2011-01-19,3549.58,2.36
54,600862,中航高科,2011-01-18,10384.01,32.55
55,002203,海亮股份,2011-01-17,22086.08,55.20
56,002295,精艺股份,2011-01-17,1300.00,9.21
57,002338,奥普光电,2011-01-17,2134.00,26.67
58,002485,希努尔,2011-01-17,1000.00,5.00
59,002486,嘉麟杰,2011-01-17,1040.00,5.00
60,002487,大金重工,2011-01-17,600.00,5.00
61,600804,鹏博士,2011-01-14,18300.00,13.67
62,002335,科华恒盛,2011-01-13,351.00,4.50
63,300125,易世达,2011-01-13,300.00,5.08
64,300126,锐奇股份,2011-01-13,421.00,5.00
65,300127,银河磁体,2011-01-13,820.00,5.08
66,300128,锦富技术,2011-01-13,500.00,5.00
67,600759,洲际油气,2011-01-13,981.45,0.80
68,600997,开滦股份,2011-01-13,51808.09,41.96
69,601377,兴业证券,2011-01-13,5260.00,2.39
70,002332,仙琚制药,2011-01-12,13855.33,40.58
71,002333,罗普斯金,2011-01-12,1166.59,4.65
72,600118,中国卫星,2011-01-12,36184.65,51.32
73,600239,云南城投,2011-01-12,5391.35,8.51
74,600376,首开股份,2011-01-12,62964.08,54.76
75,000027,深圳能源,2011-01-11,160383.82,72.82
76,300039,上海凯宝,2011-01-11,5492.80,31.32
77,300042,朗科科技,2011-01-11,1858.18,27.82
78,601177,杭齿前进,2011-01-11,2020.00,5.05
79,000523,广州浪奇,2011-01-10,7839.50,45.42
80,300038,梅泰诺,2011-01-10,2407.20,26.29
81,300040,九洲电气,2011-01-10,3600.00,25.92
82,300041,回天新材,2011-01-10,1402.75,21.25
83,600798,宁波海运,2011-01-10,1483.32,1.70
84,000659,珠海中富,2011-01-07,19960.57,26.39
85,000898,鞍钢股份,2011-01-07,434088.47,60.00
86,002329,皇氏集团,2011-01-06,3452.00,32.26
87,002331,皖通科技,2011-01-06,1458.00,20.42
88,600156,华升股份,2011-01-06,379.41,0.94
89,600818,中路股份,2011-01-06,2794.29,9.56
90,000090,天健集团,2011-01-05,2055.00,4.50
91,002011,盾安环境,2011-01-05,22453.47,60.30
92,002040,南京港,2011-01-05,12539.47,51.00
93,600229,城市传媒,2011-01-05,6.11,0.01
94,600623,华谊集团,2011-01-05,588.03,0.66
95,600893,中航动力,2011-01-05,10245.00,18.81
96,002081,金螳螂,2011-01-04,3138.00,9.83
97,600126,杭钢股份,2011-01-04,42785.88,51.00
98,600765,中航重机,2011-01-04,40345.32,51.86
99,601600,中国铝业,2011-01-04,564921.70,41.77
