,code,name,date,count,ratio
0,000503,海虹控股,2013-09-30,21388.25,23.80
1,000564,供销大集,2013-09-30,6880.00,14.54
2,000883,湖北能源,2013-09-30,60657.51,22.68
3,002482,广田集团,2013-09-30,34944.00,67.72
4,002483,润邦股份,2013-09-30,20250.00,56.25
5,002484,江海股份,2013-09-30,15600.00,75.00
6,002617,露笑科技,2013-09-30,1200.00,6.67
7,002649,博彦科技,2013-09-30,2386.36,15.91
8,300122,智飞生物,2013-09-30,24840.00,62.10
9,300123,太阳鸟,2013-09-30,5760.00,41.41
10,300124,汇川技术,2013-09-30,26993.33,69.43
11,300353,东土科技,2013-09-30,2524.29,29.48
12,600760,*ST黑豹,2013-09-30,7194.04,20.86
13,600869,智慧能源,2013-09-30,61486.54,62.10
14,601018,宁波港,2013-09-30,972000.00,75.94
15,002665,首航节能,2013-09-27,504.00,1.89
16,300182,捷成股份,2013-09-27,112.89,0.51
17,601339,百隆东方,2013-09-27,3700.00,4.93
18,002144,宏达高科,2013-09-26,356.26,2.02
19,002658,雪迪龙,2013-09-26,618.56,2.25
20,600629,华建集团,2013-09-26,1169.41,3.36
21,002700,新疆浩源,2013-09-25,1485.00,20.25
22,300255,常山药业,2013-09-25,126.84,0.67
23,300302,同有科技,2013-09-25,154.11,2.57
24,002477,雏鹰农牧,2013-09-24,48625.73,56.91
25,300002,神州泰岳,2013-09-24,128.26,0.21
26,000587,金洲慈航,2013-09-23,2740.39,4.92
27,002478,常宝股份,2013-09-23,33060.00,82.63
28,002479,富春环保,2013-09-23,28288.00,38.34
29,002480,新筑股份,2013-09-23,12146.91,43.38
30,300233,金城医药,2013-09-23,15.00,0.12
31,300309,吉艾科技,2013-09-23,225.00,1.04
32,300354,东华测试,2013-09-23,488.91,7.35
33,600161,天坛生物,2013-09-23,2721.69,5.28
34,600612,老凤祥,2013-09-23,9106.43,17.41
35,000623,吉林敖东,2013-09-18,1788.88,2.00
36,002113,天润数娱,2013-09-18,2540.00,21.45
37,300120,经纬电材,2013-09-18,7156.31,41.64
38,300121,阳谷华泰,2013-09-18,10530.00,75.00
39,600166,福田汽车,2013-09-18,52722.45,18.77
40,300119,瑞普生物,2013-09-17,8324.68,42.92
41,300170,汉得信息,2013-09-17,213.55,0.80
42,300265,通光线缆,2013-09-17,25.00,0.18
43,601012,隆基股份,2013-09-17,2444.40,4.54
44,000011,深物业A,2013-09-16,8.65,0.01
45,000498,山东路桥,2013-09-16,9.44,0.01
46,000672,上峰水泥,2013-09-16,7663.21,9.42
47,000851,高鸿股份,2013-09-16,120.45,0.23
48,002367,康力电梯,2013-09-16,97.50,0.26
49,002475,立讯精密,2013-09-16,40950.00,74.80
50,002663,普邦股份,2013-09-16,5440.00,9.73
51,600166,福田汽车,2013-09-16,21074.18,7.50
52,000981,银亿股份,2013-09-13,751.76,0.88
53,002371,北方华创,2013-09-13,4800.00,13.63
54,300136,信维通信,2013-09-13,448.20,3.27
55,300148,天舟文化,2013-09-13,3.42,0.02
56,300352,北信源,2013-09-12,2752.77,20.64
57,002609,捷顺科技,2013-09-11,168.73,0.92
58,002698,博实股份,2013-09-11,7182.65,17.91
59,000561,烽火电子,2013-09-10,25208.58,42.31
60,002472,双环传动,2013-09-10,17009.93,61.19
61,300157,恒泰艾普,2013-09-10,614.15,1.66
62,300302,同有科技,2013-09-10,265.34,4.42
63,002467,二六三,2013-09-09,9159.68,38.16
64,002469,三维工程,2013-09-09,11273.59,44.49
65,002695,煌上煌,2013-09-05,2782.61,22.46
66,002696,百洋股份,2013-09-05,1846.81,20.99
67,002697,红旗连锁,2013-09-05,2700.00,13.50
68,300147,香雪制药,2013-09-05,300.21,0.77
69,000686,东北证券,2013-09-03,20542.83,20.99
70,600597,光明乳业,2013-09-03,17584.53,14.36
71,002466,天齐锂业,2013-09-02,1468.80,9.99
