,code,name,date,count,ratio
0,000615,京汉股份,2016-10-31,27.86,0.04
1,002581,未名医药,2016-10-31,3366.46,5.10
2,300090,盛运环保,2016-10-31,9163.99,6.94
3,300134,大富科技,2016-10-31,11469.80,14.94
4,300208,恒顺众昇,2016-10-31,1278.75,1.67
5,300289,利德曼,2016-10-31,605.00,1.43
6,300443,金雷风电,2016-10-31,140.63,1.18
7,600299,安迪苏,2016-10-31,5185.19,1.93
8,002329,皇氏集团,2016-10-28,2179.00,2.60
9,002563,森马服饰,2016-10-28,561.36,0.21
10,300061,康耐特,2016-10-28,13.44,0.05
11,600332,白云山,2016-10-28,3483.96,2.14
12,603766,隆鑫通用,2016-10-28,1361.00,1.61
13,000541,佛山照明,2016-10-27,11.46,0.01
14,002555,三七互娱,2016-10-27,15115.71,7.25
15,002701,奥瑞金,2016-10-27,27765.60,11.79
16,300170,汉得信息,2016-10-27,121.71,0.14
17,000418,小天鹅A,2016-10-26,12.56,0.02
18,002217,合力泰,2016-10-26,19264.28,13.54
19,002392,北京利尔,2016-10-26,1006.76,0.84
20,002625,龙生股份,2016-10-26,139.24,0.46
21,300184,力源信息,2016-10-26,2054.79,4.89
22,300431,暴风集团,2016-10-26,219.36,0.79
23,002524,光正集团,2016-10-25,146.29,0.29
24,002250,联化科技,2016-10-24,622.08,0.74
25,002322,理工环科,2016-10-24,10795.85,26.90
26,002752,昇兴股份,2016-10-24,1350.41,2.14
27,300109,新开源,2016-10-24,53.59,0.31
28,300247,乐金健康,2016-10-24,5352.77,7.41
29,300360,炬华科技,2016-10-24,161.55,0.45
30,000895,双汇发展,2016-10-21,148288.30,44.94
31,000948,南天信息,2016-10-21,1500.00,6.08
32,002098,浔兴股份,2016-10-21,11105.50,31.02
33,300006,莱美药业,2016-10-21,5188.23,6.39
34,300375,鹏翎股份,2016-10-21,136.02,0.73
35,300387,富邦股份,2016-10-21,108.00,0.87
36,600845,宝信软件,2016-10-21,2446.88,3.12
37,300350,华鹏飞,2016-10-20,3261.77,11.00
38,600614,鹏起科技,2016-10-20,6678.80,3.81
39,000417,合肥百货,2016-10-19,37.87,0.05
40,002355,兴民智通,2016-10-19,73.64,0.14
41,002518,科士达,2016-10-19,305.74,0.69
42,002740,爱迪尔,2016-10-19,231.33,0.77
43,300352,北信源,2016-10-19,78.90,0.15
44,002326,永太科技,2016-10-18,39.48,0.05
45,002445,中南文化,2016-10-18,2010.43,2.48
46,300038,梅泰诺,2016-10-18,128.00,0.67
47,300236,上海新阳,2016-10-18,3131.89,16.16
48,000960,锡业股份,2016-10-17,5820.26,3.95
49,002635,安洁科技,2016-10-17,11.00,0.03
50,002712,思美传媒,2016-10-17,240.30,0.84
51,300118,东方日升,2016-10-17,725.36,1.07
52,000018,神州长城,2016-10-14,37524.63,22.10
53,002032,苏泊尔,2016-10-14,3.40,0.01
54,002322,理工环科,2016-10-14,2054.29,5.12
55,600209,罗顿发展,2016-10-14,430.50,0.98
56,000833,贵糖股份,2016-10-13,8202.10,12.27
57,600200,江苏吴中,2016-10-13,4104.61,5.97
58,600751,天海投资,2016-10-13,17836.02,6.15
59,300171,东富龙,2016-10-12,30.60,0.05
60,300242,明家联合,2016-10-12,1579.30,2.48
61,300402,宝色股份,2016-10-12,755.00,3.74
62,600074,保千里,2016-10-12,188.00,0.08
63,603288,海天味业,2016-10-12,228.67,0.08
64,000612,焦作万方,2016-10-10,91.26,0.08
65,002559,亚威股份,2016-10-10,367.30,0.99
66,300396,迪瑞医疗,2016-10-10,0.62,0.00
67,600583,海油工程,2016-10-10,37234.06,8.42
68,600599,熊猫金控,2016-10-10,4000.00,24.10
69,600847,万里股份,2016-10-10,1907.35,12.44
