,code,name,date,count,ratio
0,000732,泰禾集团,2011-09-30,3763.06,3.70
1,002075,沙钢股份,2011-09-30,11880.00,7.54
2,002482,广田集团,2011-09-30,2160.00,6.75
3,002594,比亚迪,2011-09-30,1500.00,0.64
4,600617,国新能源,2011-09-30,2046.95,12.24
5,601058,赛轮金宇,2011-09-30,1960.00,5.18
6,300122,智飞生物,2011-09-29,11160.00,27.90
7,300235,方直科技,2011-09-29,220.00,5.00
8,300236,上海新阳,2011-09-29,430.00,5.05
9,300237,美晨科技,2011-09-29,280.00,4.91
10,600499,科达洁能,2011-09-29,870.35,1.43
11,600588,用友网络,2011-09-29,1076.58,1.32
12,002593,日上集团,2011-09-28,1060.00,5.00
13,002595,豪迈科技,2011-09-28,1000.00,5.00
14,300123,太阳鸟,2011-09-28,3591.50,25.82
15,300124,汇川技术,2011-09-28,1057.45,4.90
16,600478,科力远,2011-09-28,2854.28,9.07
17,000030,富奥股份,2011-09-26,2658.01,9.22
18,002274,华昌化工,2011-09-26,15243.92,58.30
19,600806,*ST昆机,2011-09-26,19199.57,36.15
20,600643,爱建集团,2011-09-23,12.48,0.01
21,601117,中国化学,2011-09-23,29600.00,6.00
22,601798,蓝科高新,2011-09-23,1600.00,5.00
23,000796,凯撒旅游,2011-09-22,4284.80,17.38
24,002185,华天科技,2011-09-22,13942.50,37.36
25,300116,坚瑞沃能,2011-09-22,165.00,2.06
26,300232,洲明科技,2011-09-22,399.00,5.13
27,300233,金城医药,2011-09-22,600.00,4.96
28,300234,开尔新材,2011-09-22,400.00,5.00
29,600995,文山电力,2011-09-22,14152.32,29.58
30,002479,富春环保,2011-09-21,15360.00,35.89
31,002480,新筑股份,2011-09-21,8853.09,31.62
32,002481,双塔食品,2011-09-21,2819.00,23.49
33,002591,恒大高新,2011-09-21,400.00,5.00
34,600979,广安爱众,2011-09-20,11720.00,19.77
35,002272,川润股份,2011-09-19,11157.30,65.42
36,002273,水晶光电,2011-09-19,3549.00,30.69
37,300020,银江股份,2011-09-19,450.00,1.88
38,300119,瑞普生物,2011-09-19,4706.00,31.73
39,300120,经纬电材,2011-09-19,1484.66,13.13
40,000691,ST亚太,2011-09-15,2200.00,6.80
41,000881,中广核技,2011-09-15,288.00,0.93
42,002474,榕基软件,2011-09-15,2160.06,20.83
43,002476,宝莫股份,2011-09-15,4350.00,24.17
44,002477,雏鹰农牧,2011-09-15,4804.46,17.99
45,300229,拓尔思,2011-09-15,600.00,5.00
46,300230,永利股份,2011-09-15,450.00,5.01
47,300231,银信科技,2011-09-15,200.00,5.00
48,601567,三星医疗,2011-09-15,1340.00,5.02
49,600166,福田汽车,2011-09-14,16611.28,7.87
50,600460,士兰微,2011-09-14,3000.00,6.91
51,000585,东北电气,2011-09-13,23.10,0.03
52,002271,东方雨虹,2011-09-13,13911.27,40.50
53,002471,中超控股,2011-09-13,1797.90,8.64
54,002472,双环传动,2011-09-13,2899.44,13.56
55,002473,圣莱达,2011-09-13,1280.00,8.00
56,002587,奥拓电子,2011-09-13,400.00,4.76
57,002588,史丹利,2011-09-13,640.00,4.92
58,002589,瑞康医药,2011-09-13,476.00,5.08
59,002590,万安科技,2011-09-13,450.00,4.82
60,600057,象屿股份,2011-09-13,18520.96,21.54
61,002467,二六三,2011-09-08,4420.16,36.84
62,002468,申通快递,2011-09-08,2419.20,12.60
63,002469,三维工程,2011-09-08,680.00,6.04
64,002470,金正大,2011-09-08,15000.00,21.43
65,300226,上海钢联,2011-09-08,200.00,5.00
66,300227,光韵达,2011-09-08,330.00,4.92
67,300228,富瑞特装,2011-09-08,340.00,5.08
68,600211,西藏药业,2011-09-08,1875.94,12.88
69,300107,建新股份,2011-09-07,1000.00,7.47
70,000430,张家界,2011-09-06,19.78,0.06
71,600030,中信证券,2011-09-06,6608.10,0.66
72,000665,湖北广电,2011-09-05,1546.99,8.72
73,002270,华明装备,2011-09-05,10900.00,74.91
74,300117,嘉寓股份,2011-09-05,2670.28,12.29
75,601010,文峰股份,2011-09-05,2200.00,4.46
76,000623,吉林敖东,2011-09-02,1376.06,2.00
77,002584,西陇科学,2011-09-02,1000.00,5.00
78,002585,双星新材,2011-09-02,1020.00,4.90
79,002586,围海股份,2011-09-02,540.00,5.05
80,300115,长盈精密,2011-09-02,3122.51,18.15
81,300116,坚瑞沃能,2011-09-02,2142.73,26.78
82,300118,东方日升,2011-09-02,8775.78,25.07
83,601311,骆驼股份,2011-09-02,1660.00,3.95
84,000517,荣安地产,2011-09-01,176.20,0.17
85,002131,利欧股份,2011-09-01,3731.40,12.39
86,600892,大晟文化,2011-09-01,118.20,1.87
