,code,name,date,count,ratio
0,002024,苏宁云商,2010-12-31,24028.11,3.43
1,600686,金龙汽车,2010-12-31,45.63,0.10
2,002031,巨轮智能,2010-12-30,14079.65,53.08
3,002328,新朋股份,2010-12-30,2715.00,9.05
4,600456,宝钛股份,2010-12-30,1800.72,4.18
5,002310,东方园林,2010-12-29,692.61,4.61
6,002482,广田集团,2010-12-29,800.00,5.00
7,002483,润邦股份,2010-12-29,1000.00,5.00
8,002484,江海股份,2010-12-29,800.00,5.00
9,300123,太阳鸟,2010-12-29,440.00,5.06
10,600801,华新水泥,2010-12-29,6736.31,16.69
11,601919,中远海控,2010-12-29,531308.28,52.01
12,000665,湖北广电,2010-12-28,22.01,0.12
13,002201,九鼎新材,2010-12-28,7407.31,54.79
14,300122,智飞生物,2010-12-28,800.00,2.00
15,300124,汇川技术,2010-12-28,540.00,5.00
16,600175,美都能源,2010-12-28,33248.07,29.34
17,600200,江苏吴中,2010-12-28,3118.50,5.00
18,600252,中恒集团,2010-12-28,9421.19,17.26
19,600303,曙光股份,2010-12-28,3048.75,10.61
20,601018,宁波港,2010-12-28,90000.00,7.03
21,601099,太平洋,2010-12-28,118749.82,78.99
22,000558,莱茵体育,2010-12-27,24444.99,65.93
23,000783,长江证券,2010-12-27,106450.14,49.03
24,002202,金风科技,2010-12-27,106823.82,39.64
25,300029,天龙光电,2010-12-27,5880.00,29.40
26,300030,阳普医疗,2010-12-27,2203.82,29.78
27,300031,宝通科技,2010-12-27,2374.12,23.74
28,300033,同花顺,2010-12-27,3729.60,27.75
29,300034,钢研高纳,2010-12-27,2518.90,21.39
30,300035,中科电气,2010-12-27,2268.68,24.59
31,300036,超图软件,2010-12-27,2350.40,31.34
32,600115,东方航空,2010-12-27,86000.00,7.63
33,600157,永泰能源,2010-12-27,12177.02,41.20
34,600331,宏达股份,2010-12-27,22400.00,21.70
35,600444,国机通用,2010-12-27,2448.26,23.32
36,600572,康恩贝,2010-12-27,1234.80,3.51
37,600708,光明地产,2010-12-27,15312.39,30.00
38,600717,天津港,2010-12-27,57953.62,34.60
39,600734,实达集团,2010-12-27,1841.27,5.24
40,600768,宁波富邦,2010-12-27,1972.60,14.75
41,601139,深圳燃气,2010-12-27,44000.00,35.77
42,601601,中国太保,2010-12-27,352708.37,41.01
43,600060,海信电器,2010-12-24,12600.00,14.54
44,600299,安迪苏,2010-12-24,23058.82,44.11
45,600805,悦达投资,2010-12-24,9.50,0.02
46,000851,高鸿股份,2010-12-23,6440.00,19.35
47,600675,*ST中企,2010-12-23,37012.60,26.17
48,000572,海马汽车,2010-12-22,6.27,0.00
49,002005,德豪润达,2010-12-22,1500.00,3.10
50,002325,洪涛股份,2010-12-22,1614.33,10.76
51,002326,永太科技,2010-12-22,1020.00,7.64
52,601999,出版传媒,2010-12-22,40291.47,73.14
53,002199,*ST东晶,2010-12-21,7774.00,74.19
54,002478,常宝股份,2010-12-21,1390.00,3.47
55,002479,富春环保,2010-12-21,1080.00,5.05
56,002480,新筑股份,2010-12-21,699.99,5.00
57,002481,双塔食品,2010-12-21,299.99,5.00
58,600978,宜华生活,2010-12-21,18414.71,15.98
59,002193,山东如意,2010-12-20,7762.12,48.51
60,002197,证通电子,2010-12-20,7432.14,56.67
61,002198,嘉应制药,2010-12-20,12300.00,75.00
62,002322,理工环科,2010-12-20,2438.00,36.55
63,002323,雅百特,2010-12-20,926.40,11.19
64,002324,普利特,2010-12-20,2216.20,16.42
65,601918,*ST新集,2010-12-20,80261.08,43.38
66,000009,中国宝安,2010-12-17,60.30,0.06
67,300119,瑞普生物,2010-12-17,372.00,5.02
68,300120,经纬电材,2010-12-17,440.00,5.06
69,300121,阳谷华泰,2010-12-17,300.00,5.00
70,600377,宁沪高速,2010-12-17,409.19,0.08
71,600770,综艺股份,2010-12-17,5910.00,8.87
72,000610,西安旅游,2010-12-16,2.72,0.01
73,002320,海峡股份,2010-12-16,3832.90,18.72
74,002321,华英农业,2010-12-16,6600.00,44.90
75,601989,中国重工,2010-12-16,13000.00,1.96
76,000521,美菱电器,2010-12-15,2912.76,7.04
77,000636,风华高科,2010-12-15,12248.42,18.25
78,002009,天奇股份,2010-12-15,6813.15,30.83
79,002474,榕基软件,2010-12-15,520.00,5.01
80,002475,立讯精密,2010-12-15,876.00,5.04
81,002476,宝莫股份,2010-12-15,600.00,5.00
82,002477,雏鹰农牧,2010-12-15,670.00,5.02
83,601668,中国建筑,2010-12-15,108000.00,3.60
84,000576,广东甘化,2010-12-14,499.71,1.55
85,002271,东方雨虹,2010-12-14,1842.14,11.64
86,600004,白云机场,2010-12-14,13500.00,11.74
87,600658,电子城,2010-12-14,490.97,0.85
88,002195,二三四五,2010-12-13,2021.66,27.09
89,002196,方正电机,2010-12-13,5715.00,74.08
90,002314,南山控股,2010-12-13,471.90,1.63
91,002318,久立特材,2010-12-13,6165.74,29.64
92,002319,乐通股份,2010-12-13,2994.00,29.94
93,601866,中远海发,2010-12-13,536183.75,45.89
94,002077,大港股份,2010-12-10,13718.63,54.44
95,002209,达意隆,2010-12-10,2424.41,12.42
96,002471,中超控股,2010-12-10,800.00,5.00
97,002472,双环传动,2010-12-10,600.00,5.05
