,code,name,date,count,ratio
0,000403,ST生化,2015-04-30,24.00,0.09
1,000415,渤海金控,2015-04-30,28860.03,16.27
2,000859,国风塑业,2015-04-30,14832.75,26.08
3,002390,信邦制药,2015-04-30,3667.48,7.33
4,002695,煌上煌,2015-04-30,110.68,0.87
5,300379,东方通,2015-04-30,3051.61,26.48
6,002392,北京利尔,2015-04-29,2328.49,3.89
7,000410,沈阳机床,2015-04-28,104.47,0.14
8,000955,欣龙控股,2015-04-27,3900.00,7.24
9,002375,亚厦股份,2015-04-27,6377.90,7.15
10,002671,龙泉股份,2015-04-27,14521.65,32.73
11,002672,东江环保,2015-04-27,12697.16,36.51
12,300308,中际装备,2015-04-27,10338.03,47.86
13,300310,宜通世纪,2015-04-27,17160.00,75.00
14,300311,任子行,2015-04-27,7520.00,64.60
15,300313,天山生物,2015-04-27,3008.54,33.09
16,600648,外高桥,2015-04-27,12456.82,10.97
17,603000,人民网,2015-04-27,32980.00,59.66
18,603001,奥康国际,2015-04-27,28403.10,70.83
19,300355,蒙草生态,2015-04-24,1052.21,2.39
20,600170,上海建工,2015-04-24,250818.51,54.86
21,600960,渤海活塞,2015-04-24,17413.95,33.19
22,601636,旗滨集团,2015-04-24,14545.00,14.28
23,002527,新时达,2015-04-23,37.21,0.10
24,300069,金利华电,2015-04-23,4744.42,40.55
25,601388,怡球资源,2015-04-23,31045.95,58.25
26,000733,振华科技,2015-04-22,7103.89,15.14
27,002296,辉煌科技,2015-04-22,547.78,1.45
28,002348,高乐股份,2015-04-22,1800.00,3.80
29,002665,首航节能,2015-04-22,13230.00,49.61
30,000635,英力特,2015-04-21,12602.65,41.58
31,300190,维尔利,2015-04-21,123.12,0.71
32,601099,太平洋,2015-04-21,82500.00,23.37
33,002326,永太科技,2015-04-20,144.56,0.51
34,002398,建研集团,2015-04-20,690.48,2.62
35,002472,双环传动,2015-04-20,331.20,1.15
36,002625,龙生股份,2015-04-20,147.82,0.49
37,300043,星辉娱乐,2015-04-20,29488.54,52.14
38,600248,延长化建,2015-04-20,4770.00,10.07
39,603077,和邦生物,2015-04-20,2705.16,2.67
40,000517,荣安地产,2015-04-17,82800.00,78.02
41,600520,*ST中发,2015-04-17,4085.00,25.78
42,002668,奥马电器,2015-04-16,9300.00,56.24
43,002669,康达新材,2015-04-16,12773.22,63.87
44,002670,国盛金控,2015-04-16,11762.27,58.81
45,000725,京东方A,2015-04-15,1184761.90,33.57
46,002145,中核钛白,2015-04-15,90.29,0.20
47,002482,广田集团,2015-04-15,115.66,0.22
48,002358,森源电气,2015-04-14,18326.76,46.07
49,000656,金科股份,2015-04-13,7400.80,5.37
50,000697,炼石有色,2015-04-13,7858.55,14.04
51,300125,易世达,2015-04-13,2672.47,22.65
52,600017,日照港,2015-04-13,44502.22,14.47
53,601012,隆基股份,2015-04-13,22749.66,41.53
54,000589,黔轮胎A,2015-04-10,25656.00,33.09
55,002672,东江环保,2015-04-10,167.10,0.48
56,300015,爱尔眼科,2015-04-10,281.28,0.43
57,300309,吉艾科技,2015-04-10,14326.80,65.94
58,000597,东北制药,2015-04-09,78.00,0.16
59,300043,星辉娱乐,2015-04-09,1879.63,3.32
60,300180,华峰超纤,2015-04-09,30.00,0.19
61,600203,福日电子,2015-04-09,4323.48,11.37
62,002047,宝鹰股份,2015-04-08,19851.00,15.72
63,002106,莱宝高科,2015-04-08,1158.96,1.64
64,002245,澳洋顺昌,2015-04-08,14666.67,15.06
65,000701,厦门信达,2015-04-07,4944.38,15.90
66,300166,东方国信,2015-04-07,828.50,2.92
67,300266,兴源环境,2015-04-07,222.57,1.34
68,000809,铁岭新城,2015-04-03,18900.29,34.37
69,002043,兔宝宝,2015-04-03,426.90,0.88
70,002309,中利集团,2015-04-03,8328.67,14.66
71,002410,广联达,2015-04-03,450.82,0.60
72,600201,生物股份,2015-04-03,171.36,0.60
73,002572,索菲亚,2015-04-02,414.80,0.94
74,300305,裕兴股份,2015-04-02,8850.33,61.46
75,000693,ST华泽,2015-04-01,3357.24,6.18
