,code,name,date,count,ratio
0,002464,金利科技,2011-08-31,150.00,1.11
1,002466,天齐锂业,2011-08-31,184.50,1.26
2,300223,北京君正,2011-08-31,400.00,5.00
3,300224,正海磁材,2011-08-31,800.00,5.00
4,300225,金力泰,2011-08-31,336.00,5.01
5,600559,老白干酒,2011-08-31,5054.81,36.11
6,600369,西南证券,2011-08-30,41870.00,18.03
7,601566,九牧王,2011-08-30,2400.00,4.19
8,002269,美邦服饰,2011-08-29,90000.00,89.55
9,002428,云南锗业,2011-08-29,304.20,1.86
10,002583,海能达,2011-08-29,1400.00,5.04
11,300113,顺网科技,2011-08-29,3726.01,28.23
12,300114,中航电测,2011-08-29,336.00,2.80
13,600743,华远地产,2011-08-29,39587.45,31.31
14,601599,鹿港文化,2011-08-29,1060.00,5.00
15,002002,鸿达兴业,2011-08-26,1350.00,8.09
16,600219,南山铝业,2011-08-26,12200.00,6.31
17,300108,双龙股份,2011-08-25,2414.29,35.71
18,300109,新开源,2011-08-25,2453.00,34.07
19,300110,华仁药业,2011-08-25,3468.10,16.24
20,300220,金运激光,2011-08-25,180.00,5.14
21,300221,银禧科技,2011-08-25,497.00,4.97
22,300222,科大智能,2011-08-25,300.00,5.00
23,000552,靖远煤电,2011-08-24,7489.99,42.11
24,300106,西部牧业,2011-08-24,3214.39,27.47
25,600038,中直股份,2011-08-24,16885.65,50.05
26,600470,六国化工,2011-08-24,16000.00,30.68
27,000723,美锦能源,2011-08-23,572.22,4.10
28,002164,宁波东力,2011-08-23,8562.50,19.21
29,601208,东材科技,2011-08-23,1600.00,5.20
30,002581,未名医药,2011-08-22,540.00,4.99
31,002582,好想你,2011-08-22,372.00,5.04
32,600306,*ST商城,2011-08-22,20.46,0.11
33,600079,人福医药,2011-08-19,957.61,1.94
34,600680,上海普天,2011-08-19,18139.31,47.46
35,002461,珠江啤酒,2011-08-18,6981.81,10.27
36,002462,嘉事堂,2011-08-18,13615.91,56.73
37,002463,沪电股份,2011-08-18,44066.16,53.06
38,300217,东方电热,2011-08-18,460.00,5.12
39,300218,安利股份,2011-08-18,528.00,5.00
40,300219,鸿利智汇,2011-08-18,600.00,4.89
41,601233,桐昆股份,2011-08-18,2400.00,4.98
42,601766,中国中车,2011-08-18,651600.00,55.03
43,601818,光大银行,2011-08-18,1121689.00,27.74
44,600893,中航动力,2011-08-17,56.20,0.05
45,000045,深纺织A,2011-08-16,3763.44,11.18
46,002019,亿帆医药,2011-08-15,5932.29,26.91
47,002267,陕天然气,2011-08-15,39855.08,78.39
48,600614,鹏起科技,2011-08-15,3916.26,6.90
49,000918,嘉凯城,2011-08-12,8484.09,4.70
50,300102,乾照光电,2011-08-12,7887.12,26.74
51,300103,达刚路机,2011-08-12,633.65,5.39
52,300104,乐视网,2011-08-12,4266.90,19.39
53,601113,华鼎股份,2011-08-12,1600.00,5.00
54,000586,汇源通信,2011-08-11,4000.00,20.68
55,000792,盐湖股份,2011-08-11,9870.96,6.21
56,000948,南天信息,2011-08-11,4859.63,23.08
57,002015,霞客环保,2011-08-11,11.64,0.05
58,002268,卫士通,2011-08-11,6015.49,34.83
59,300214,日科化学,2011-08-11,700.00,5.18
60,300215,电科院,2011-08-11,230.00,5.11
61,300216,千山药机,2011-08-11,340.00,5.08
62,000631,顺发恒业,2011-08-10,1345.82,1.29
63,002456,欧菲光,2011-08-10,3469.09,18.07
64,002459,天业通联,2011-08-10,9882.27,44.45
65,002460,赣锋锂业,2011-08-10,6195.39,41.30
66,600398,海澜之家,2011-08-10,4733.18,7.32
67,002147,新光圆成,2011-08-09,6153.43,23.80
68,000429,粤高速A,2011-08-08,6.54,0.01
69,000893,东凌国际,2011-08-08,11210.25,50.50
70,002265,西仪股份,2011-08-08,19929.73,68.48
71,002579,中京电子,2011-08-08,480.00,4.93
72,002580,圣阳股份,2011-08-08,375.00,4.99
73,300099,尤洛卡,2011-08-08,539.06,5.22
74,300100,双林股份,2011-08-08,1500.00,10.70
75,300101,振芯科技,2011-08-08,5072.00,36.49
76,601218,吉鑫科技,2011-08-08,1016.00,2.25
77,300211,亿通科技,2011-08-05,248.00,5.08
78,300212,易华录,2011-08-05,340.00,5.08
79,300213,佳讯飞鸿,2011-08-05,420.00,5.00
80,600649,城投控股,2011-08-05,118385.57,51.52
81,002455,百川股份,2011-08-04,1170.00,8.88
82,000100,TCL集团,2011-08-03,228440.84,26.95
83,000701,厦门信达,2011-08-03,4372.50,18.20
84,002457,青龙管业,2011-08-03,8145.59,36.47
85,601258,庞大集团,2011-08-03,2800.00,2.67
86,601717,郑煤机,2011-08-03,27440.00,39.20
87,002236,大华股份,2011-08-02,356.41,1.28
88,600180,瑞茂通,2011-08-02,7956.59,31.70
89,600436,片仔癀,2011-08-02,7636.80,54.55
90,000718,苏宁环球,2011-08-01,52704.75,25.80
91,600295,鄂尔多斯,2011-08-01,31680.00,30.70
92,600708,光明地产,2011-08-01,33.16,0.07
