,code,name,date,count,ratio
0,000026,飞亚达A,2013-12-31,16297.73,41.49
1,000883,湖北能源,2013-12-31,165140.47,61.75
2,002075,沙钢股份,2013-12-31,118026.56,74.88
3,002530,丰东股份,2013-12-31,10356.00,38.64
4,002531,天顺风能,2013-12-31,31800.00,77.28
5,002532,新界泵业,2013-12-31,10971.43,68.57
6,300052,中青宝,2013-12-31,8302.75,31.93
7,300153,科泰电源,2013-12-31,8412.00,52.58
8,600961,株冶集团,2013-12-31,26913.03,51.02
9,601126,四方股份,2013-12-31,25128.99,61.80
10,000551,创元科技,2013-12-30,1263.44,3.16
11,002001,新和成,2013-12-30,585.00,0.81
12,002013,中航机电,2013-12-30,8311.62,11.60
13,002050,三花智控,2013-12-30,667.37,1.12
14,002051,中工国际,2013-12-30,6429.28,10.09
15,002080,中材科技,2013-12-30,24301.36,60.75
16,002179,中航光电,2013-12-30,19170.00,41.36
17,002638,勤上股份,2013-12-30,1182.80,3.16
18,300035,中科电气,2013-12-30,541.39,3.01
19,300152,科融环境,2013-12-30,8800.00,36.64
20,300154,瑞凌股份,2013-12-30,14306.00,64.01
21,300301,长方集团,2013-12-30,487.75,1.79
22,300309,吉艾科技,2013-12-30,563.70,2.59
23,300315,掌趣科技,2013-12-30,39.60,0.06
24,600729,重庆百货,2013-12-30,23551.33,57.93
25,601890,亚星锚链,2013-12-30,19016.62,40.63
26,603000,人民网,2013-12-30,3731.71,13.50
27,600186,莲花健康,2013-12-27,7826.09,7.37
28,000903,云内动力,2013-12-25,25515.00,37.48
29,002433,太安堂,2013-12-25,7800.00,28.06
30,300333,兆日科技,2013-12-25,840.00,7.50
31,000666,经纬纺机,2013-12-24,6637.81,9.43
32,002528,英飞拓,2013-12-24,26400.00,74.64
33,002529,海源机械,2013-12-24,7326.50,45.79
34,000425,徐工机械,2013-12-23,115.10,0.06
35,002004,华邦健康,2013-12-23,804.01,1.38
36,002097,山河智能,2013-12-23,10905.88,26.51
37,300149,量子高科,2013-12-23,3338.18,16.61
38,300150,世纪瑞尔,2013-12-23,11400.00,42.22
39,300151,昌红科技,2013-12-23,5022.75,49.98
40,300283,温州宏丰,2013-12-23,405.73,4.41
41,600011,华能国际,2013-12-23,50000.00,3.56
42,600109,国金证券,2013-12-23,29382.96,22.71
43,600373,中文传媒,2013-12-23,37974.50,57.65
44,601789,宁波建工,2013-12-23,1197.98,2.46
45,601799,星宇股份,2013-12-23,68.31,0.29
46,000529,广弘控股,2013-12-20,127.77,0.22
47,300241,瑞丰光电,2013-12-20,145.17,0.67
48,300309,吉艾科技,2013-12-20,96.99,0.45
49,000539,粤电力A,2013-12-19,48.66,0.01
50,000564,供销大集,2013-12-19,5.15,0.01
51,002323,雅百特,2013-12-19,3211.52,29.85
52,002524,光正集团,2013-12-19,16362.52,32.51
53,601799,星宇股份,2013-12-19,7.88,0.03
54,000725,京东方A,2013-12-18,59405.94,4.39
55,000999,华润三九,2013-12-18,62249.88,63.59
56,002613,北玻股份,2013-12-18,644.58,1.61
57,300077,国民技术,2013-12-18,56.25,0.21
58,600967,北方创业,2013-12-18,8300.00,18.16
59,601933,永辉超市,2013-12-18,54773.06,33.66
60,002526,山东矿机,2013-12-17,12506.99,23.42
61,300296,利亚德,2013-12-17,723.75,4.83
62,600082,海泰发展,2013-12-17,47.03,0.07
63,000669,金鸿能源,2013-12-16,7649.68,28.43
64,300146,汤臣倍健,2013-12-16,19054.72,58.08
65,300147,香雪制药,2013-12-16,14475.24,36.92
66,300216,千山药机,2013-12-16,142.12,0.77
67,000534,万泽股份,2013-12-13,325.80,0.66
68,002429,兆驰股份,2013-12-13,176.89,0.17
69,600480,凌云股份,2013-12-13,498.00,1.38
70,601377,兴业证券,2013-12-13,9513.00,3.66
71,601866,中远海发,2013-12-13,23366.25,2.00
72,601566,九牧王,2013-12-12,15.60,0.03
73,000017,深中华A,2013-12-11,996.36,1.81
74,002479,富春环保,2013-12-11,406.98,0.55
75,002077,大港股份,2013-12-10,1603.86,6.37
76,002425,凯撒文化,2013-12-10,20176.00,51.73
77,002437,誉衡药业,2013-12-10,105.00,0.38
78,002520,日发精机,2013-12-10,12798.00,59.25
79,002521,齐峰新材,2013-12-10,13965.49,33.21
80,002522,浙江众成,2013-12-10,11936.00,69.94
81,002523,天桥起重,2013-12-10,11087.87,33.32
82,300145,中金环境,2013-12-10,1710.13,11.79
83,600104,上汽集团,2013-12-10,7209.81,0.65
84,000851,高鸿股份,2013-12-09,15364.00,29.78
85,002113,天润数娱,2013-12-09,352.00,2.97
86,002471,中超控股,2013-12-09,6780.00,13.37
87,002517,恺英网络,2013-12-09,13260.00,75.00
88,002518,科士达,2013-12-09,15480.00,72.91
89,000418,小天鹅A,2013-12-06,24719.37,39.08
90,000422,湖北宜化,2013-12-06,3.65,0.00
91,002005,德豪润达,2013-12-06,32000.00,27.43
92,300338,开元仪器,2013-12-06,375.00,4.17
93,600988,赤峰黄金,2013-12-06,4086.54,14.42
94,601880,大连港,2013-12-06,255499.50,57.73
95,000156,华数传媒,2013-12-05,637.58,0.58
96,000718,苏宁环球,2013-12-05,426.82,0.21
97,002031,巨轮智能,2013-12-05,5500.00,11.66
98,600532,宏达矿业,2013-12-05,1300.25,3.28
99,000539,粤电力A,2013-12-04,13804.71,3.16
100,002512,达华智能,2013-12-04,23758.38,74.58
101,300068,南都电源,2013-12-04,110.00,0.18
102,600828,茂业商业,2013-12-04,7.12,0.01
103,601390,中国中铁,2013-12-04,46750.00,2.20
104,000719,大地传媒,2013-12-03,266.99,0.61
105,002189,利达光电,2013-12-03,500.00,2.51
106,002513,*ST蓝丰,2013-12-03,15840.00,74.32
107,002514,宝馨科技,2013-12-03,7040.00,64.71
108,002515,金字火腿,2013-12-03,10725.00,74.83
109,600712,南宁百货,2013-12-03,58.06,0.11
110,000400,许继电气,2013-12-02,2585.21,5.26
111,002369,卓翼科技,2013-12-02,9544.20,39.77
112,002379,*ST鲁丰,2013-12-02,14520.00,31.35
113,300172,中电环保,2013-12-02,18.26,0.14
114,300323,华灿光电,2013-12-02,281.25,0.94
115,600363,联创光电,2013-12-02,5200.00,11.73
